system:index,date,precip_daily,.geo
20000101,2000-01-01,0.12576721480973627,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000102,2000-01-02,0.4133228018673284,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000103,2000-01-03,0.875635946709493,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000104,2000-01-04,0.03928310958348053,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000105,2000-01-05,0.03676655603133756,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000106,2000-01-06,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000107,2000-01-07,0.22978526871992222,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000108,2000-01-08,0.9707883636069832,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000109,2000-01-09,0.017301720873472055,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000110,2000-01-10,0.07284017419410897,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000111,2000-01-11,0.05250469499876267,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000112,2000-01-12,0.2142273591857234,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000113,2000-01-13,0.009167778805895989,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000114,2000-01-14,0.24686314325830372,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000115,2000-01-15,0.28261974340822976,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000116,2000-01-16,0.13083310531829712,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000117,2000-01-17,0.8868979687599967,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000118,2000-01-18,0.5028831359286853,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000119,2000-01-19,0.25679687540846424,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000120,2000-01-20,0.03643825820037081,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000121,2000-01-21,0.37600889909618523,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000122,2000-01-22,1.4134487208307258,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000123,2000-01-23,0.1787082303087189,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000124,2000-01-24,0.6352019575918121,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000125,2000-01-25,0.24328849074489992,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000126,2000-01-26,2.4795445091612747,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000127,2000-01-27,2.4268105583331026,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000128,2000-01-28,0.02825599396988268,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000129,2000-01-29,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000130,2000-01-30,8.340791891854467E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000131,2000-01-31,0.32745298952707785,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000201,2000-02-01,0.1724552530426627,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000202,2000-02-02,0.02144020574199501,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000203,2000-02-03,0.07965736996060624,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000204,2000-02-04,0.0018148904432566072,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000205,2000-02-05,0.05303251395396851,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000206,2000-02-06,0.14640240778910277,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000207,2000-02-07,0.024002592088043322,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000208,2000-02-08,0.007519592822605384,"{""type"":""MultiPoint"",""coordinates"":[]}"
